PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,Outcome
-0.32573276788338795,-1.618562570208271,0.16089963715486022,-0.30147533244998215,-2.189460398116004,1.2489291585590219,-1.6142366895193176,-1.2442044905584004,-0.2527449077296855,-2.722788628801411,0.06071946971584993,1.7106453378866902,1.0765639726758522,-1.1322278251536804,Yes
0.6239153738280131,2.5807971601115045,1.9474580729549034,-1.9005964433526992,0.41587321135491684,-1.3567519155675596,-0.5287545863930205,0.6417449367625894,-1.3116276656455679,0.12301501386705177,-0.5468056795220885,-0.3957960297923779,0.2801447463988627,-1.4268832275128507,No
-2.4060613479024973,-1.1069342864799516,0.49674572019098956,-0.8661955337261918,-1.4508752255727577,0.13538300013547977,1.3442693038014688,0.6789490301275742,0.1658939682059237,-1.5823019915800118,-1.4997841855613276,-0.09521865880195428,0.997800422410893,0.7231444165350401,Yes
-0.8527872816884754,-0.26432000911489334,-1.3350102578643097,-1.3569435393102736,-1.2347427881876567,-0.19094962613416508,-0.24047458954233902,1.2641530282987552,0.5496094944736248,0.1905032230787003,1.0553519252624346,0.6613913143134776,2.0314660135070306,0.6995240247569185,No
-1.8805921823741258,-1.0989278808080805,-0.34264028226959825,-1.444628762799649,-1.0930321869075694,-1.3904582602840658,0.45352051453473324,-0.25647215395441525,-0.38999863863244827,0.02874607470389112,-0.4803170531182105,-0.14679005443120208,-0.426614346355391,-1.0233293434583755,No
-0.5927517372544777,0.9253167244489755,-1.6982560777841236,-1.2025839556013111,-2.135472992196783,0.2359971692965824,-0.5701718264747739,0.39434301085540313,0.1378998090106459,-1.0139166800481634,0.09244596280671355,0.4123675678915888,0.4774347283955474,-0.7433155321871241,No
-1.307291133481245,-0.032040293799331244,3.446662303506306,2.1476844477739725,-1.7892254149026254,0.7235660318711787,1.201350199957259,1.2081127827270233,-0.1153449467387362,-1.4498771793876135,0.7186961708753774,0.38033073362465214,0.09808507621029545,-0.5215515736513792,No
-2.9629071312417286,2.2195394270222137,2.1889539890779846,-0.6244724799734533,-1.2252211311537562,0.8720071085108515,-0.9795472972457702,1.6705145738308826,-1.183239513269861,0.08539663772403448,-1.0266854959272684,0.5527017493047677,-0.6097991491030441,1.1675898958967814,No
1.116031772414686,2.6525973023907676,1.596777869069744,-1.5482560407996493,0.5079487755202902,-0.02475407568927674,-1.3512411006442961,-0.3280414121136091,0.903422636638957,0.4425052014996058,-1.0833123438588974,-0.21553754529585645,-0.6019496069807262,1.24340457692882,No
1.1933884904687586,-0.18444851207287197,-0.41970884161434674,1.7215950205912307,-1.6868338146604827,1.174454765263523,-1.2395163158725022,0.6078629357655833,-1.2808437512974202,0.22966685803561412,-0.4005090099682945,-0.3767775151891778,1.436297212827449,0.30041899319775656,No
-1.514402741778867,0.16626446190584088,-1.018671760525984,0.9499393027666462,-1.3125070153850773,-1.2052490312720305,0.6887537835420072,-0.7348117735561277,-1.6631625158681949,1.4328767024093951,0.9775331884905306,0.7619275726765048,0.22920076441115175,0.48236531368868873,No
-0.2251306027295928,0.7523851036946848,-1.8476765784945208,-2.2251177561061026,0.06017230720254643,-0.9215497758638928,-0.9220688139477384,0.00036914552849392736,0.07798459965053765,0.6892250550879762,-0.9546744727980334,-0.8768308943838976,-0.37613507483754954,0.024643531722327857,No
-1.5570665713882903,1.0678964965637585,-0.5128819317729502,-1.0157900636711337,-1.7824715313982942,0.11308197846860345,-2.4401416372126463,-1.0825350908895957,-0.9275737745477672,0.9414565999200676,-0.8392419797168138,-0.5326402402172289,-1.4115021779618682,-0.04703761417189651,No
-2.1268340827988177,-0.08466441167510039,-1.0987973200371486,0.2884709304754706,-2.317294254218185,0.5797852943619946,-0.3031837710785377,-0.19972370981633297,-1.2128771886225107,0.8405018117000186,-1.5403092166904793,0.8918027799937142,0.21161371511116228,0.4510508109262331,No
-1.913560502017801,-0.05492182658588545,-0.48601153287244203,-1.0834069260645651,0.7751556507102348,-0.32286332461918815,-0.8237791314553589,-1.0135500999550913,0.3804411104044239,1.0070507276963225,-0.5238207402817748,-0.7790056074708614,0.4305287046190839,1.0859872527452528,Yes
